OverNumber,Bowlers_Name,Batsman_Name,Outcome,Runs,Delivery_Length,Delivery_Line,Delivery_type,Shot_type,Shot_Field_Position,Hit_type,Innings_No
1,Hendricks  ,Babar Azam,Dot,0,GoodLength,Wide,Null,Cut,Point,Middled,2
18,Hendricks  ,Babar Azam,Dot,0,FullLength,OffStumps,Null,Pulled,MidWicket,Middled,2
8,Hendricks  ,Babar Azam,Dot,0,GoodLength ,MiddleStumps,Null,StraightDrive,Bowler,Middled,2
8,Hendricks  ,Babar Azam,Single,1,FullLength ,OffStumps,Off Cutter,Square Cut,MidWicket,Middled,2
7,Hendricks  ,Babar Azam,Dot,0,GoodLength ,Null,Null,StraightDrive,Null,Null,2
7,Magala  ,Babar Azam,Single,1,GoodLength ,Null,Null,BackFootDrive,OnSide,Middled,2
7,Magala  ,Babar Azam,Single,1,GoodLength ,OnThePads,Null,LegBye,OnSide,Missed,2
6,Magala  ,Babar Azam,Dot,0,Short ,AroundOff,MediumPaceBall,StraightDrive,Cover,Middled,2
6,Magala  ,Babar Azam,Double,2,GoodLength ,Null,MediumPaceBall,Pulled,DeepMidWicket,Middled,2
6,Hendricks  ,Babar Azam,Single,1,Short ,Null,MediumPaceBall,Cut,Cover,Middled,2
5,Hendricks  ,Babar Azam,Single,1,GoodLength ,OutsideOff,SlowerBall,Drag,MidWicket,Middled,2
5,Hendricks  ,Babar Azam,Four,4,FullLength,OutsideOff,MediumPaceBall,LoftedDrive,Backword Point,Middled,2
4,Linde  ,Babar Azam,Single,1,GoodLength ,OutsideOff,MediumPaceBall,Flick,LongOn,Middled,2
4,Linde  ,Babar Azam,Four,4,Short ,OutsideOff,MediumPaceBall,LateDabs,ThirdMan,Middled,2
4,Magala  ,Babar Azam,Double,2,FullLength,OutsideOff,SlowerBall,Pulled,DeepMidWicket,Middled,2
3,Magala  ,Babar Azam,Single,1,Short ,Null,SlowerBall,SoftHand,OffSide,Edged,2
3,Magala  ,Babar Azam,Single,1,Short ,OutsideOff,MediumPaceBall,Flick,MidOff,Middled,2
3,Williams  ,Babar Azam,Single,1,FullLength,Null,SlowerBall,Pulled,MidWicket,Middled,2
3,Williams  ,Babar Azam,Double,2,Short ,OutsideOff,MediumPaceBall,Punched ,Cover,Middled,2
2,Hendricks  ,Babar Azam,Four,4,FullLength,OutsideOff,SlowBouncer,Flick,ThirdMan,Middled,2
18,Hendricks  ,Babar Azam,Single,1,GoodLength ,OutsideOff,Null,Edge,Point,Edged,2
17,Hendricks  ,Babar Azam,Dot,0,FullLength,LegStump,Null,Null,Null,Missed,2
17,Shamsi  ,Babar Azam,Single,1,FullLength,DownTheLegSide,Flighted,Flick,LegSide,Missed,2
17,Shamsi  ,Babar Azam,Single,1,GoodLength,Stumps,Flighted,Sweep,DeepMidWicket,Middled,2
17,Magala  ,Babar Azam,Four,4,FullLength,OffStumps,Null,Defended,ThirdMan,Edged,2
16,Magala  ,Babar Azam,Dot,0,GoodLength ,OffStumps,Null,Drive,Bowler,Edged,2
16,Magala  ,Babar Azam,Single,1,FullLength  ,MiddleLegStump,Flighted,Flick,BehindSquare,Middled,2
15,Magala  ,Babar Azam,Double,2,GoodLength,Stumps,Null,StraightDrive,LongOn,NotMiddled,2
15,Shamsi  ,Babar Azam,Dot,0,Short    ,OutsideOff,Quicker,Tuckle,LegSide,Middled,2
15,Shamsi  ,Babar Azam,Double,2,GoodLength ,OutsideOff,Null,Cut,BehindThePoint,Middled,2
15,Magala  ,Babar Azam,Dot,0,GoodLength ,OffStumps,flatter,Defended,Null,Middled,2
15,Magala  ,Babar Azam,Single,1,Short    ,SixthStump,Null,Cut,Cover,Middled,2
14,Magala  ,Babar Azam,Single,1,FullLength  ,LegStump,Null,Flick,BehindSquare,Middled,2
14,Magala  ,Babar Azam,Single,1,Short    ,OutsideOff,MediumPaceBall,StraightDrive,ExraCover,Middled,2
13,Magala  ,Babar Azam,Single,1,FullLength  ,OffStumps,MediumPaceBall,Flick,MidWicket,Middled,2
13,Magala  ,Babar Azam,Single,1,GoodLength ,MiddleStump,Null,Heave,BackwardPoint,LeadingEdge,2
13,Linde  ,Babar Azam,Dot,0,FullLength,Null,Null,LoftedShot,Null,Null,2
12,Linde  ,Babar Azam,Dot,0,Null,AroundOff,Null,Null,ShortFineLeg,Null,2
12,Linde  ,Babar Azam,Single,1,Short,Null,Null,Null,OnSide,Null,2
12,Williams  ,Babar Azam,Dot,0,Short,Null,Null,Null,BackwardPoint,Null,2
12,Williams  ,Babar Azam,Single,1,Null,Null,Null,Null,MidWicket,LeadingEdge,2
12,Williams  ,Babar Azam,Single,1,GoodLength,Null,Flick,Null,ShortFineLeg,Missed,2
11,Shamsi  ,Babar Azam,Single,1,Short,WideOff,Null,Null,Cover,Null,2
11,Shamsi  ,Babar Azam,Dot,0,Short,WideOff,Null,Pulled,Null,Null,2
11,Shamsi  ,Babar Azam,Four,4,Null,Null,Null,Null,midwicket,Null,2
11,Shamsi  ,Babar Azam,Dot,0,GoodLength,OutsideOff,SlowBall,Null,front cover,Null,2
10,Shamsi  ,Babar Azam,Dot,0,GoodLength ,Null,Null,Null,Null,Edged,2
9,Williams  ,Babar Azam,Dot,0,GoodLength    ,AroundOff,Null,Punched,Bowler,Middled,1
9,Williams  ,Babar Azam,Dot,0,GoodLength    ,DownTheLegSide,Null,Tuckle,MidWicket,Middled,1
9,Williams  ,Babar Azam,Dot,0,GoodLength    ,AroundOff,Null,Defended,Point,Middled,1
8,Shamsi  ,Babar Azam,Dot,0,Short    ,AroundOff,Null,Drive,Cover,Middled,1
8,Shamsi  ,Babar Azam,Dot,0,FullLength  ,Null,Null,Dabbed,Slip1,edge,1
8,Shamsi  ,Babar Azam,Dot,0,Null,LegStump,SwingingIn,Flick,Null,Missed,1
