Line,Length,Position,CRuns,CCount,TRuns,TCount,Line Length Combination,Total Shot Field Count,FR,P1
Leg,FullLength,BehindSquare,1,1,1310,929,6,9,0.6666666666666666,0.7091603053435114
Leg,FullLength,CowCorner,0,1,1310,929,6,36,0.16666666666666666,0.0
Leg,FullLength,DeepFineLeg,2,1,1310,929,6,77,0.07792207792207792,1.4183206106870228
Leg,FullLength,FineLeg,0,1,1310,929,6,2,3.0,0.0
Leg,FullLength,LongOn,0,1,1310,929,6,120,0.05,0.0
Leg,FullLength,MidOn,2,1,1310,929,6,5,1.2,1.4183206106870228
Leg,GoodLength,CowCorner,3,4,1310,929,9,36,0.25,0.5318702290076336
Leg,GoodLength,DeepFineLeg,2,3,1310,929,9,77,0.11688311688311688,0.47277353689567425
Leg,GoodLength,LongOff,1,1,1310,929,9,75,0.12,0.7091603053435114
Leg,GoodLength,StraightHit,0,1,1310,929,9,37,0.24324324324324326,0.0
Leg,ShortLength,BehindSquare,2,1,1310,929,12,9,1.3333333333333333,1.4183206106870228
Leg,ShortLength,CowCorner,2,2,1310,929,12,36,0.3333333333333333,0.7091603053435114
Leg,ShortLength,DeepFineLeg,12,8,1310,929,12,77,0.15584415584415584,1.0637404580152672
Leg,ShortLength,DeepMidWicket,4,1,1310,929,12,185,0.06486486486486487,2.8366412213740455
Leg,Yorker,CowCorner,-1,1,1310,929,2,36,0.05555555555555555,-0.7091603053435114
Leg,Yorker,DeepFineLeg,5,1,1310,929,2,77,0.025974025974025976,3.545801526717557
Middle,FullLength,BehindSquare,2,2,1310,929,130,9,14.444444444444445,0.7091603053435114
Middle,FullLength,Cover,0,1,1310,929,130,5,26.0,0.0
Middle,FullLength,CowCorner,2,5,1310,929,130,36,3.611111111111111,0.2836641221374046
Middle,FullLength,DeepBackwardPoint,1,1,1310,929,130,30,4.333333333333333,0.7091603053435114
Middle,FullLength,DeepCover,14,11,1310,929,130,107,1.2149532710280373,0.9025676613462873
Middle,FullLength,DeepExtraCover,3,2,1310,929,130,16,8.125,1.0637404580152672
Middle,FullLength,DeepFineLeg,5,2,1310,929,130,77,1.6883116883116882,1.7729007633587786
Middle,FullLength,DeepMidWicket,64,39,1310,929,130,185,0.7027027027027027,1.163750244666275
Middle,FullLength,DeepPoint,1,1,1310,929,130,38,3.4210526315789473,0.7091603053435114
Middle,FullLength,DeepSquareLeg,20,12,1310,929,130,52,2.5,1.1819338422391859
Middle,FullLength,FineLeg,1,1,1310,929,130,2,65.0,0.7091603053435114
Middle,FullLength,LongOff,41,20,1310,929,130,75,1.7333333333333334,1.4537786259541983
Middle,FullLength,LongOn,29,15,1310,929,130,120,1.0833333333333333,1.3710432569974553
Middle,FullLength,MidOn,0,1,1310,929,130,5,26.0,0.0
Middle,FullLength,MidWicket,2,3,1310,929,130,12,10.833333333333334,0.47277353689567425
Middle,FullLength,SquareLeg,5,3,1310,929,130,6,21.666666666666668,1.1819338422391859
Middle,FullLength,StraightHit,9,6,1310,929,130,37,3.5135135135135136,1.0637404580152672
Middle,FullLength,ThirdMan,7,4,1310,929,130,79,1.6455696202531647,1.241030534351145
Middle,FullLength,shortCover,1,1,1310,929,130,2,65.0,0.7091603053435114
Middle,GoodLength,BehindSquare,2,2,1310,929,163,9,18.11111111111111,0.7091603053435114
Middle,GoodLength,Cover,2,4,1310,929,163,5,32.6,0.3545801526717557
Middle,GoodLength,CowCorner,10,6,1310,929,163,36,4.527777777777778,1.1819338422391859
Middle,GoodLength,DeepCover,18,7,1310,929,163,107,1.5233644859813085,1.8235550708833153
Middle,GoodLength,DeepFineLeg,8,7,1310,929,163,77,2.116883116883117,0.8104689203925844
Middle,GoodLength,DeepMidWicket,59,43,1310,929,163,185,0.8810810810810811,0.9730339073317947
Middle,GoodLength,DeepPoint,15,13,1310,929,163,38,4.2894736842105265,0.8182618907809747
Middle,GoodLength,DeepSquareLeg,27,18,1310,929,163,52,3.1346153846153846,1.0637404580152672
Middle,GoodLength,ExraCover,0,1,1310,929,163,20,8.15,0.0
Middle,GoodLength,LongOff,17,12,1310,929,163,75,2.1733333333333333,1.0046437659033078
Middle,GoodLength,LongOn,12,6,1310,929,163,120,1.3583333333333334,1.4183206106870228
Middle,GoodLength,MidWicket,3,6,1310,929,163,12,13.583333333333334,0.3545801526717557
Middle,GoodLength,Point,18,10,1310,929,163,11,14.818181818181818,1.2764885496183207
Middle,GoodLength,Square,3,3,1310,929,163,5,32.6,0.7091603053435114
Middle,GoodLength,SquareLeg,5,2,1310,929,163,6,27.166666666666668,1.7729007633587786
Middle,GoodLength,StraightHit,7,8,1310,929,163,37,4.405405405405405,0.6205152671755725
