OverNumber,Bowlers_Name,Bowler_Type,Batsman_Name,Runs,Delivery_Length,Delivery_Line,Shot_Field_Position
18.5,Richard Ngarava,Fast,Babar Azam,1,FullLength,Middle,LongOff
18.4,Richard Ngarava,Fast,Babar Azam,4,FullLength,Middle,DeepFineLeg
18.2,Richard Ngarava,Fast,Babar Azam,1,GoodLength,Middle,DeepMidWicket
17.6,Tabraiz Shamsi,Spin,Babar Azam,1,FullLength,Middle,DeepCover
17.1,Tabraiz Shamsi,Spin,Babar Azam,1,FullLength,Middle,DeepMidWicket
16.6,Richard Ngarava,Fast,Babar Azam,1,GoodLength,Middle,DeepMidWicket
16.5,Richard Ngarava,Fast,Babar Azam,2,fulltoss,Middle,LongOff
16.4,Richard Ngarava,Fast,Babar Azam,4,FullLength,Middle,ThirdMan
16.3,Richard Ngarava,Fast,Babar Azam,0,FullLength,Middle,MidOn
15.6,Shakib Al Hasan,Spin,Babar Azam,6,FullLength,Middle,LongOff
15.3,Shakib Al Hasan,Spin,Babar Azam,1,FullLength,Middle,DeepCover
15.1,Shakib Al Hasan,Spin,Babar Azam,1,GoodLength,Middle,LongOff
14.6,Kasun Rajitha,Medium,Babar Azam,1,FullLength,Middle,DeepSquareLeg
14.3,Kasun Rajitha,Medium,Babar Azam,1,GoodLength,Middle,DeepCover
14.2,Kasun Rajitha,Medium,Babar Azam,6,GoodLength,Middle,LongOff
14.1,Kasun Rajitha,Medium,Babar Azam,2,GoodLength,Middle,LongOff
13.6,Akila Dananjaya,Spin,Babar Azam,1,FullLength,Middle,LongOff
13.5,Akila Dananjaya,Spin,Babar Azam,2,FullLength,Middle,DeepMidWicket
13.4,Akila Dananjaya,Spin,Babar Azam,4,GoodLength,Middle,DeepCover
13.3,Akila Dananjaya,Spin,Babar Azam,6,FullLength,Middle,LongOff
13.2,Akila Dananjaya,Spin,Babar Azam,6,FullLength,Middle,LongOff
13.1,Akila Dananjaya,Spin,Babar Azam,0,GoodLength,Middle,MidWicket
11.3,Shakib Al Hasan,Spin,Babar Azam,1,FullLength,Middle,LongOff
11.2,Shakib Al Hasan,Spin,Babar Azam,2,FullLength,Middle,DeepCover
10.5,Tabraiz Shamsi,Spin,Babar Azam,1,GoodLength,Middle,DeepSquareLeg
10.4,Tabraiz Shamsi,Spin,Babar Azam,0,FullLength,Middle,MidWicket
10.3,Tabraiz Shamsi,Spin,Babar Azam,2,GoodLength,Middle,DeepCover
9.5,Akila Dananjaya,Spin,Babar Azam,1,GoodLength,Middle,DeepMidWicket
9.3,Akila Dananjaya,Spin,Babar Azam,1,FullLength,Middle,DeepMidWicket
9.2,Akila Dananjaya,Spin,Babar Azam,4,FullLength,Middle,DeepCover
9.2,Akila Dananjaya,Spin,Babar Azam,6,FullLength,Middle,LongOff
9.1,Akila Dananjaya,Spin,Babar Azam,1,GoodLength,Middle,DeepMidWicket
7.6,Akila Dananjaya,Spin,Babar Azam,1,GoodLength,Middle,DeepPoint
7.4,Akila Dananjaya,Spin,Babar Azam,1,FullLength,Middle,DeepMidWicket
7.2,Akila Dananjaya,Spin,Babar Azam,1,FullLength,Middle,shortCover
6.4,Dasun Shanaka,Medium,Babar Azam,1,GoodLength,Middle,DeepFineLeg
6.2,Dasun Shanaka,Medium,Babar Azam,1,FullLength,Middle,DeepCover
5.5,Tabraiz Shamsi,Spin,Babar Azam,1,GoodLength,Middle,DeepSquareLeg
5.3,Tabraiz Shamsi,Spin,Babar Azam,6,FullLength,Middle,DeepMidWicket
5.2,Tabraiz Shamsi,Spin,Babar Azam,0,GoodLength,Middle,shortCover
4.6,Richard Ngarava,Fast,Babar Azam,2,GoodLength,Middle,DeepFineLeg
4.4,Richard Ngarava,Fast,Babar Azam,4,GoodLength,Middle,DeepPoint
3.4,Shakib Al Hasan,Spin,Babar Azam,1,FullLength,Middle,LongOff
3.1,Shakib Al Hasan,Spin,Babar Azam,1,FullLength,Middle,DeepCover
2.3,Richard Ngarava,Fast,Babar Azam,1,GoodLength,Middle,LongOff
2.1,Richard Ngarava,Fast,Babar Azam,1,GoodLength,Middle,DeepSquareLeg
1.6,Shakib Al Hasan,Spin,Babar Azam,1,FullLength,Middle,DeepMidWicket
1.5,Shakib Al Hasan,Spin,Babar Azam,0,GoodLength,Middle,DeepSquareLeg
1.3,Shakib Al Hasan,Spin,Babar Azam,1,FullLength,Middle,DeepCover
1.1,Shakib Al Hasan,Spin,Babar Azam,1,FullLength,Middle,DeepMidWicket
0.6,Kasun Rajitha,Medium,Babar Azam,1,GoodLength,Middle,Point
0.5,Kasun Rajitha,Medium,Babar Azam,4,FullLength,Middle,DeepSquareLeg
0.4,Kasun Rajitha,Medium,Babar Azam,4,GoodLength,Middle,DeepCover
0.3,Kasun Rajitha,Medium,Babar Azam,4,FullLength,Middle,DeepSquareLeg
12.2,Trent Boult,Fast,Babar Azam,1,FullLength,Middle,FineLeg
11.5,Ish Sodhi,Spin,Babar Azam,1,GoodLength,Middle,LongOff
11.2,Ish Sodhi,Spin,Babar Azam,1,FullLength,Middle,SquareLeg
10.6,LH Ferguson,Fast,Babar Azam,2,FullLength,Middle,MidWicket
10.5,LH Ferguson,Fast,Babar Azam,0,FullLength,Middle,MidWicket
10.4,LH Ferguson,Fast,Babar Azam,4,ShortLength,Middle,MidWicket
10.2,LH Ferguson,Fast,Babar Azam,1,GoodLength,Middle,ThirdMan
9.6,Ish Sodhi,Spin,Babar Azam,2,GoodLength,Middle,Point
9.5,Ish Sodhi,Spin,Babar Azam,4,GoodLength,Middle,Point
9.3,Ish Sodhi,Spin,Babar Azam,1,ShortLength,Middle,SquareLeg
9.1,Ish Sodhi,Spin,Babar Azam,1,GoodLength,Middle,Point
8.5,Mitchell Santner,Spin,Babar Azam,1,GoodLength,Middle,Cover
8.2,Mitchell Santner,Spin,Babar Azam,1,ShortLength,Middle,MidWicket
8.1,Mitchell Santner,Spin,Babar Azam,0,GoodLength,Middle,Cover
7.6,Ish Sodhi,Spin,Babar Azam,1,GoodLength,Middle,MidWicket
